"Id","Class","Label","Direction","Intersection"
"HLA-DPB1","gene","HLA-DPB1","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"HLA-DQA1","gene","HLA-DQA1","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"HLA-DQB1","gene","HLA-DQB1","Up-regulated","CMV_eg_AND_HIV_eg"
"HLA-DRA","gene","HLA-DRA","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"HLA-DRB1","gene","HLA-DRB1","Up-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"HLA-DRB3","gene","HLA-DRB3","Up-regulated","CMV_eg_AND_HIV_eg"
"HMGA2","gene","HMGA2","Up-regulated","CMV_eg"
"IFNG","gene","IFNG","Up-regulated","CMV_eg"
"IKZF3","gene","IKZF3","Up-regulated","CMV_eg"
"IL10","gene","IL10","Up-regulated","CMV_eg"
"IL12A","gene","IL12A","Up-regulated","CMV_eg"
"IL13RA2","gene","IL13RA2","Up-regulated","CMV_eg"
"IL15RA","gene","IL15RA","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg"
"IL21R","gene","IL21R","Up-regulated","CMV_eg"
"IL2RA","gene","IL2RA","Up-regulated","CMV_eg"
"IL36RN","gene","IL36RN","Up-regulated","CMV_eg"
"IL7R","gene","IL7R","Up-regulated","CMV_eg"
"INSYN2B","gene","INSYN2B","Up-regulated","CMV_eg"
"IRF1","gene","IRF1","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"KIR2DL1","gene","KIR2DL1","Up-regulated","CMV_eg"
"KIR2DL3","gene","KIR2DL3","Up-regulated","CMV_eg"
"KLHDC7B","gene","KLHDC7B","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_T"
"KLRC1","gene","KLRC1","Up-regulated","CMV_eg"
"KLRC2","gene","KLRC2","Up-regulated","CMV_eg"
"KRT33B","gene","KRT33B","Up-regulated","CMV_eg"
"LCK","gene","LCK","Up-regulated","CMV_eg"
"LGALS9C","gene","LGALS9C","Up-regulated","CMV_eg"
"LIMK2","gene","LIMK2","Up-regulated","CMV_eg"
"LINS1","gene","LINS1","Up-regulated","CMV_eg"
"LMNB1","gene","LMNB1","Up-regulated","CMV_eg"
"LTB","gene","LTB","Up-regulated","CMV_eg"
"MARCHF4","gene","MARCHF4","Up-regulated","CMV_eg"
"MMP1","gene","MMP1","Up-regulated","CMV_eg"
"MMP3","gene","MMP3","Up-regulated","CMV_eg"
"MMP7","gene","MMP7","Up-regulated","CMV_eg"
"MPND","gene","MPND","Up-regulated","CMV_eg"
"MREG","gene","MREG","Up-regulated","CMV_eg"
"MYO1G","gene","MYO1G","Up-regulated","CMV_eg"
"NFILZ","gene","NFILZ","Up-regulated","CMV_eg"
"NKG7","gene","NKG7","Up-regulated","CMV_eg"
"NLRC3","gene","NLRC3","Up-regulated","CMV_eg"
"NUB1","gene","NUB1","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"NUDCD1","gene","NUDCD1","Up-regulated","CMV_eg_AND_CMV_T"
"PACSIN1","gene","PACSIN1","Up-regulated","CMV_eg"
"PEAK3","gene","PEAK3","Up-regulated","CMV_eg"
"PFKFB3","gene","PFKFB3","Up-regulated","CMV_eg"
"PLGLB2","gene","PLGLB2","Up-regulated","CMV_eg"
"PLXNC1","gene","PLXNC1","Up-regulated","CMV_eg"
"PPP1R1A","gene","PPP1R1A","Up-regulated","CMV_eg"
"PRKCQ","gene","PRKCQ","Up-regulated","CMV_eg_AND_CMV_T"
"PROK2","gene","PROK2","Up-regulated","CMV_eg"
"PRR9","gene","PRR9","Up-regulated","CMV_eg"
"PRSS3","gene","PRSS3","Up-regulated","CMV_eg"
"RAB43","gene","RAB43","Up-regulated","CMV_eg_AND_CMV_T"
"RHCG","gene","RHCG","Up-regulated","CMV_eg"
"RHOH","gene","RHOH","Up-regulated","CMV_eg"
"RUNX3","gene","RUNX3","Up-regulated","CMV_eg"
"S100A12","gene","S100A12","Up-regulated","CMV_eg"
"S1PR4","gene","S1PR4","Up-regulated","CMV_eg"
"SAMD3","gene","SAMD3","Up-regulated","CMV_eg"
"SBK1","gene","SBK1","Up-regulated","CMV_eg_AND_CMV_T"
"SDS","gene","SDS","Up-regulated","CMV_eg_AND_CMV_T"
"SELL","gene","SELL","Up-regulated","CMV_eg_AND_CMV_T"
"SERPINB7","gene","SERPINB7","Up-regulated","CMV_eg"
"SFRP4","gene","SFRP4","Up-regulated","CMV_eg"
"SH2D1A","gene","SH2D1A","Up-regulated","CMV_eg"
"SH2D1B","gene","SH2D1B","Up-regulated","CMV_eg"
"SKAP1","gene","SKAP1","Up-regulated","CMV_eg"
"SLAMF1","gene","SLAMF1","Up-regulated","CMV_eg"
"SLC22A1","gene","SLC22A1","Up-regulated","CMV_eg"
"SLC25A22","gene","SLC25A22","Up-regulated","CMV_eg_AND_HIV_T"
"SLFN13","gene","SLFN13","Up-regulated","CMV_eg"
"SOX11","gene","SOX11","Up-regulated","CMV_eg"
"SPN","gene","SPN","Up-regulated","CMV_eg"
"STRIP2","gene","STRIP2","Up-regulated","CMV_eg"
"TAP1","gene","TAP1","Up-regulated","CMV_eg_AND_CMV_T_AND_HIV_eg_AND_HIV_T"
"TARP","gene","TARP","Up-regulated","CMV_eg"
"TBC1D10C","gene","TBC1D10C","Up-regulated","CMV_eg"
"TCHH","gene","TCHH","Up-regulated","CMV_eg_AND_CMV_T"
"TESPA1","gene","TESPA1","Up-regulated","CMV_eg"
"THEMIS","gene","THEMIS","Up-regulated","CMV_eg"
"TIFAB","gene","TIFAB","Up-regulated","CMV_eg"
"TMEM71","gene","TMEM71","Up-regulated","CMV_eg"
"TMIGD2","gene","TMIGD2","Up-regulated","CMV_eg"
"TNFRSF6B","gene","TNFRSF6B","Up-regulated","CMV_eg"
"TPSB2","gene","TPSB2","Up-regulated","CMV_eg"
"TPSD1","gene","TPSD1","Up-regulated","CMV_eg"
"TRAF3IP3","gene","TRAF3IP3","Up-regulated","CMV_eg"
"VGF","gene","VGF","Up-regulated","CMV_eg"
"VMO1","gene","VMO1","Up-regulated","CMV_eg"
"VPS9D1","gene","VPS9D1","Up-regulated","CMV_eg_AND_HIV_T"
"ZAP70","gene","ZAP70","Up-regulated","CMV_eg"
"ZNF683","gene","ZNF683","Up-regulated","CMV_eg"
"ZP4","gene","ZP4","Up-regulated","CMV_eg"
"AAR2","gene","AAR2","Up-regulated","CMV_T"
"ACSM5","gene","ACSM5","Up-regulated","CMV_T"
"ADAR","gene","ADAR","Up-regulated","CMV_T"
"ADPRS","gene","ADPRS","Up-regulated","CMV_T"
"AEN","gene","AEN","Up-regulated","CMV_T"
"AIDA","gene","AIDA","Up-regulated","CMV_T"
"AIM2","gene","AIM2","Up-regulated","CMV_T"
"AKAP7","gene","AKAP7","Up-regulated","CMV_T"
"AKT2","gene","AKT2","Up-regulated","CMV_T"
"AMBRA1","gene","AMBRA1","Up-regulated","CMV_T"
"AMER1","gene","AMER1","Up-regulated","CMV_T"
"ANKIB1","gene","ANKIB1","Up-regulated","CMV_T"
"ANXA2R","gene","ANXA2R","Up-regulated","CMV_T"
"APOBEC3A_B","gene","APOBEC3A_B","Up-regulated","CMV_T"
"APOBEC3F","gene","APOBEC3F","Up-regulated","CMV_T"
"APOBEC3G","gene","APOBEC3G","Up-regulated","CMV_T"
"APOL1","gene","APOL1","Up-regulated","CMV_T"
"APOL2","gene","APOL2","Up-regulated","CMV_T_AND_HIV_T"
"ARMCX1","gene","ARMCX1","Up-regulated","CMV_T"
"ASAH2B","gene","ASAH2B","Up-regulated","CMV_T"
"ASCL2","gene","ASCL2","Up-regulated","CMV_T"
"ASPHD2","gene","ASPHD2","Up-regulated","CMV_T"
"ATF5","gene","ATF5","Up-regulated","CMV_T"
"ATP10A","gene","ATP10A","Up-regulated","CMV_T"
"ATP1A3","gene","ATP1A3","Up-regulated","CMV_T"
"ATXN7","gene","ATXN7","Up-regulated","CMV_T"
"AZI2","gene","AZI2","Up-regulated","CMV_T"
"AZIN2","gene","AZIN2","Up-regulated","CMV_T"
"BARD1","gene","BARD1","Up-regulated","CMV_T"
"BATF2","gene","BATF2","Up-regulated","CMV_T_AND_HIV_T"
"BATF3","gene","BATF3","Up-regulated","CMV_T"
"BAZ1A","gene","BAZ1A","Up-regulated","CMV_T"
"BCL2L13","gene","BCL2L13","Up-regulated","CMV_T"
"BEND3","gene","BEND3","Up-regulated","CMV_T"
"BLOC1S3","gene","BLOC1S3","Up-regulated","CMV_T"
"BLZF1","gene","BLZF1","Up-regulated","CMV_T"
"BRD7","gene","BRD7","Up-regulated","CMV_T"
"BST2","gene","BST2","Up-regulated","CMV_T"
"BTN2A2","gene","BTN2A2","Up-regulated","CMV_T_AND_HIV_T"
"BTN3A1","gene","BTN3A1","Up-regulated","CMV_T"
"BTN3A3","gene","BTN3A3","Up-regulated","CMV_T"
"C18orf25","gene","C18orf25","Up-regulated","CMV_T"
"C1GALT1","gene","C1GALT1","Up-regulated","CMV_T"
"C2orf49","gene","C2orf49","Up-regulated","CMV_T"
"C3orf14","gene","C3orf14","Up-regulated","CMV_T"
"CACNA1A","gene","CACNA1A","Up-regulated","CMV_T"
"CADM4","gene","CADM4","Up-regulated","CMV_T"
"CALCOCO2","gene","CALCOCO2","Up-regulated","CMV_T"
"CARD16","gene","CARD16","Up-regulated","CMV_T_AND_HIV_T"
"CASP1","gene","CASP1","Up-regulated","CMV_T"
"CASP10","gene","CASP10","Up-regulated","CMV_T"
"CASP3","gene","CASP3","Up-regulated","CMV_T"
"CASP7","gene","CASP7","Up-regulated","CMV_T"
"CASP8","gene","CASP8","Up-regulated","CMV_T"
"CBWD5","gene","CBWD5","Up-regulated","CMV_T"
"CCDC117","gene","CCDC117","Up-regulated","CMV_T"
"CCDC32","gene","CCDC32","Up-regulated","CMV_T"
"CCL4","gene","CCL4","Up-regulated","CMV_T"
"CCL8","gene","CCL8","Up-regulated","CMV_T_AND_HIV_eg"
"CCNA1","gene","CCNA1","Up-regulated","CMV_T"
"CCNJ","gene","CCNJ","Up-regulated","CMV_T"
"CCNK","gene","CCNK","Up-regulated","CMV_T"
"CCP110","gene","CCP110","Up-regulated","CMV_T"
"CD274","gene","CD274","Up-regulated","CMV_T"
"CD2AP","gene","CD2AP","Up-regulated","CMV_T"
"CD38","gene","CD38","Up-regulated","CMV_T"
"CD80","gene","CD80","Up-regulated","CMV_T"
"CDC27","gene","CDC27","Up-regulated","CMV_T"
"CDC73","gene","CDC73","Up-regulated","CMV_T"
"CFB","gene","CFB","Up-regulated","CMV_T"
"CGAS","gene","CGAS","Up-regulated","CMV_T"
"CHMP5","gene","CHMP5","Up-regulated","CMV_T"
"CHRNB1","gene","CHRNB1","Up-regulated","CMV_T"
"CIR1","gene","CIR1","Up-regulated","CMV_T"
"CLDN23","gene","CLDN23","Up-regulated","CMV_T"
"CMPK2","gene","CMPK2","Up-regulated","CMV_T"
"CMTR1","gene","CMTR1","Up-regulated","CMV_T"
"CNOT4","gene","CNOT4","Up-regulated","CMV_T"
"CNP","gene","CNP","Up-regulated","CMV_T"
"CPEB3","gene","CPEB3","Up-regulated","CMV_T"
"CR1L","gene","CR1L","Up-regulated","CMV_T"
"CSF2RB","gene","CSF2RB","Up-regulated","CMV_T"
"CWF19L2","gene","CWF19L2","Up-regulated","CMV_T"
"CYLD","gene","CYLD","Up-regulated","CMV_T"
"DAPP1","gene","DAPP1","Up-regulated","CMV_T_AND_HIV_T"
"DBF4B","gene","DBF4B","Up-regulated","CMV_T"
"DBNDD1","gene","DBNDD1","Up-regulated","CMV_T"
"DCP1A","gene","DCP1A","Up-regulated","CMV_T"
"DDX58","gene","DDX58","Up-regulated","CMV_T"
"DDX60","gene","DDX60","Up-regulated","CMV_T"
"DENND1B","gene","DENND1B","Up-regulated","CMV_T"
"DERL1","gene","DERL1","Up-regulated","CMV_T"
"DHX58","gene","DHX58","Up-regulated","CMV_T"
"DNAAF1","gene","DNAAF1","Up-regulated","CMV_T"
"DNAJA1","gene","DNAJA1","Up-regulated","CMV_T"
"DNAJA4","gene","DNAJA4","Up-regulated","CMV_T"
"DNPEP","gene","DNPEP","Up-regulated","CMV_T"
"DROSHA","gene","DROSHA","Up-regulated","CMV_T"
"DTX3L","gene","DTX3L","Up-regulated","CMV_T"
"DYNLT1","gene","DYNLT1","Up-regulated","CMV_T"
"EBAG9","gene","EBAG9","Up-regulated","CMV_T"
"EIF2AK2","gene","EIF2AK2","Up-regulated","CMV_T"
"ELAVL4","gene","ELAVL4","Up-regulated","CMV_T_AND_HIV_T"
"ELF1","gene","ELF1","Up-regulated","CMV_T"
"ELF4","gene","ELF4","Up-regulated","CMV_T"
"ENTPD5","gene","ENTPD5","Up-regulated","CMV_T"
"EPSTI1","gene","EPSTI1","Up-regulated","CMV_T"
"ERICH1","gene","ERICH1","Up-regulated","CMV_T"
"ERP29","gene","ERP29","Up-regulated","CMV_T"
"ERP44","gene","ERP44","Up-regulated","CMV_T"
"EXOC2","gene","EXOC2","Up-regulated","CMV_T"
"EXOSC9","gene","EXOSC9","Up-regulated","CMV_T"
"FAM72A","gene","FAM72A","Up-regulated","CMV_T"
"FAM72B","gene","FAM72B","Up-regulated","CMV_T"
"FAM76B","gene","FAM76B","Up-regulated","CMV_T"
"FANCA","gene","FANCA","Up-regulated","CMV_T"
"FANCL","gene","FANCL","Up-regulated","CMV_T"
"FBXO6","gene","FBXO6","Up-regulated","CMV_T"
"FBXO7","gene","FBXO7","Up-regulated","CMV_T"
"FEM1C","gene","FEM1C","Up-regulated","CMV_T"
"FFAR2","gene","FFAR2","Up-regulated","CMV_T"
"FKBP1B","gene","FKBP1B","Up-regulated","CMV_T"
"FKRP","gene","FKRP","Up-regulated","CMV_T"
"FMR1","gene","FMR1","Up-regulated","CMV_T"
"FUT4","gene","FUT4","Up-regulated","CMV_T"
"FXYD6","gene","FXYD6","Up-regulated","CMV_T"
"FYTTD1","gene","FYTTD1","Up-regulated","CMV_T"
"GBP3","gene","GBP3","Up-regulated","CMV_T_AND_HIV_T"
"GBP5","gene","GBP5","Up-regulated","CMV_T_AND_HIV_eg_AND_HIV_T"
"GCH1","gene","GCH1","Up-regulated","CMV_T"
"GCNT2","gene","GCNT2","Up-regulated","CMV_T"
"GIMAP2","gene","GIMAP2","Up-regulated","CMV_T"
"GIMAP4","gene","GIMAP4","Up-regulated","CMV_T"
"GLIPR1L2","gene","GLIPR1L2","Up-regulated","CMV_T"
"GMPR","gene","GMPR","Up-regulated","CMV_T"
"GOLGA4","gene","GOLGA4","Up-regulated","CMV_T"
"GORASP1","gene","GORASP1","Up-regulated","CMV_T"
"GPATCH1","gene","GPATCH1","Up-regulated","CMV_T"
"GPBP1","gene","GPBP1","Up-regulated","CMV_T"
"GPR180","gene","GPR180","Up-regulated","CMV_T"
"GPRIN1","gene","GPRIN1","Up-regulated","CMV_T"
"GRIPAP1","gene","GRIPAP1","Up-regulated","CMV_T"
"GSDMD","gene","GSDMD","Up-regulated","CMV_T"
"GTF2B","gene","GTF2B","Up-regulated","CMV_T"
"GTF2F1","gene","GTF2F1","Up-regulated","CMV_T"
"GTPBP1","gene","GTPBP1","Up-regulated","CMV_T"
"H2AC18","gene","H2AC18","Up-regulated","CMV_T"
"HDAC6","gene","HDAC6","Up-regulated","CMV_T"
"HELZ2","gene","HELZ2","Up-regulated","CMV_T"
"HERC5","gene","HERC5","Up-regulated","CMV_T"
"HERC6","gene","HERC6","Up-regulated","CMV_T"
"HERPUD2","gene","HERPUD2","Up-regulated","CMV_T"
"HESX1","gene","HESX1","Up-regulated","CMV_T"
"HIRA","gene","HIRA","Up-regulated","CMV_T"
"HLA-C","gene","HLA-C","Up-regulated","CMV_T"
"HLA-E","gene","HLA-E","Up-regulated","CMV_T_AND_HIV_eg"
"HLA-F","gene","HLA-F","Up-regulated","CMV_T"
"HPSE","gene","HPSE","Up-regulated","CMV_T"
"HSH2D","gene","HSH2D","Up-regulated","CMV_T_AND_HIV_eg"
"HUS1","gene","HUS1","Up-regulated","CMV_T"
"IDO1","Placenta_179","IDO1","Up-regulated","CMV_T"
"IFI35","gene","IFI35","Up-regulated","CMV_T"
"IFI44","gene","IFI44","Up-regulated","CMV_T"
"IFI44L","gene","IFI44L","Up-regulated","CMV_T"
"IFI6","gene","IFI6","Up-regulated","CMV_T"
"IFIH1","gene","IFIH1","Up-regulated","CMV_T"
"IFIT1","gene","IFIT1","Up-regulated","CMV_T"
"IFIT1B","gene","IFIT1B","Up-regulated","CMV_T"
"IFIT2","gene","IFIT2","Up-regulated","CMV_T_AND_HIV_T"
"IFIT3","gene","IFIT3","Up-regulated","CMV_T_AND_HIV_T"
"IFIT5","gene","IFIT5","Up-regulated","CMV_T"
"IFITM3","gene","IFITM3","Up-regulated","CMV_T"
"IFNA1","gene","IFNA1","Up-regulated","CMV_T"
"IFNA13","gene","IFNA13","Up-regulated","CMV_T"
"IFNA2","gene","IFNA2","Up-regulated","CMV_T"
"IFNB1","gene","IFNB1","Up-regulated","CMV_T"
"IGSF8","gene","IGSF8","Up-regulated","CMV_T"
"IL27","gene","IL27","Up-regulated","CMV_T_AND_HIV_T"
"IQSEC2","gene","IQSEC2","Up-regulated","CMV_T"
"IRF2","gene","IRF2","Up-regulated","CMV_T"
"IRF7","gene","IRF7","Up-regulated","CMV_T"
"ISG15","gene","ISG15","Up-regulated","CMV_T"
"ISG20","gene","ISG20","Up-regulated","CMV_T"
"ISY1-RAB43","gene","ISY1-RAB43","Up-regulated","CMV_T"
"JADE2","gene","JADE2","Up-regulated","CMV_T_AND_HIV_eg"
"JAK2","gene","JAK2","Up-regulated","CMV_T_AND_HIV_T"
"KAT2B","gene","KAT2B","Up-regulated","CMV_T"
"KDM4A","gene","KDM4A","Up-regulated","CMV_T"
"KDM6A","gene","KDM6A","Up-regulated","CMV_T"
"KIAA1958","gene","KIAA1958","Up-regulated","CMV_T"
"KIF17","gene","KIF17","Up-regulated","CMV_T"
"KIR2DL4","gene","KIR2DL4","Up-regulated","CMV_T"
"KLHL26","gene","KLHL26","Up-regulated","CMV_T"
"KLK10","gene","KLK10","Up-regulated","CMV_T"
"LAP3","gene","LAP3","Up-regulated","CMV_T"
"LARP7","gene","LARP7","Up-regulated","CMV_T"
"LIN52","gene","LIN52","Up-regulated","CMV_T"
"LMO2","gene","LMO2","Up-regulated","CMV_T"
"LRIF1","gene","LRIF1","Up-regulated","CMV_T"
"LY6E","gene","LY6E","Up-regulated","CMV_T"
"LYPD5","gene","LYPD5","Up-regulated","CMV_T_AND_HIV_T"
"MAPK1IP1L","gene","MAPK1IP1L","Up-regulated","CMV_T"
"MASTL","gene","MASTL","Up-regulated","CMV_T"
"MAU2","gene","MAU2","Up-regulated","CMV_T"
"MAX","gene","MAX","Up-regulated","CMV_T"
"MCPH1","gene","MCPH1","Up-regulated","CMV_T"
"MED25","gene","MED25","Up-regulated","CMV_T"
"MED6","gene","MED6","Up-regulated","CMV_T"
"MEFV","gene","MEFV","Up-regulated","CMV_T"
"MESD","gene","MESD","Up-regulated","CMV_T"
"METTL14","gene","METTL14","Up-regulated","CMV_T"
"MFN1","gene","MFN1","Up-regulated","CMV_T"
"MFSD14A","gene","MFSD14A","Up-regulated","CMV_T"
"MFSD9","gene","MFSD9","Up-regulated","CMV_T"
"MIA3","gene","MIA3","Up-regulated","CMV_T"
"MIER3","gene","MIER3","Up-regulated","CMV_T"
"MNDA","gene","MNDA","Up-regulated","CMV_T"
"MOCOS","gene","MOCOS","Up-regulated","CMV_T"
"MOV10","gene","MOV10","Up-regulated","CMV_T"
"MRPL10","gene","MRPL10","Up-regulated","CMV_T"
"MRPL17","gene","MRPL17","Up-regulated","CMV_T"
"MRPS18A","gene","MRPS18A","Up-regulated","CMV_T"
"MT2A","gene","MT2A","Up-regulated","CMV_T"
"MX1","gene","MX1","Up-regulated","CMV_T"
"MX2","gene","MX2","Up-regulated","CMV_T"
"MYL12A","gene","MYL12A","Up-regulated","CMV_T"
"NADK","gene","NADK","Up-regulated","CMV_T"
"NALF2","gene","NALF2","Up-regulated","CMV_T"
"NAPA","gene","NAPA","Up-regulated","CMV_T"
"NCOA2","gene","NCOA2","Up-regulated","CMV_T"
"NCOA7","gene","NCOA7","Up-regulated","CMV_T"
"NEDD1","gene","NEDD1","Up-regulated","CMV_T"
"NEK8","gene","NEK8","Up-regulated","CMV_T"
"NEURL3","gene","NEURL3","Up-regulated","CMV_T"
"NFE2L3","Placenta_179","NFE2L3","Up-regulated","CMV_T"
"NHLRC3","gene","NHLRC3","Up-regulated","CMV_T"
"NLRC5","gene","NLRC5","Up-regulated","CMV_T_AND_HIV_eg_AND_HIV_T"
"NMI","gene","NMI","Up-regulated","CMV_T"
"NOD2","gene","NOD2","Up-regulated","CMV_T"
"NSUN7","gene","NSUN7","Up-regulated","CMV_T"
"NT5C3A","gene","NT5C3A","Up-regulated","CMV_T"
"NUP160","gene","NUP160","Up-regulated","CMV_T"
"NUPR1","gene","NUPR1","Up-regulated","CMV_T"
"OAS1","gene","OAS1","Up-regulated","CMV_T"
"OAS2","gene","OAS2","Up-regulated","CMV_T"
"OASL","gene","OASL","Up-regulated","CMV_T"
"OGFR","gene","OGFR","Up-regulated","CMV_T"
"OR52K2","gene","OR52K2","Up-regulated","CMV_T"
"OSBPL9","gene","OSBPL9","Up-regulated","CMV_T"
"PABIR3","gene","PABIR3","Up-regulated","CMV_T"
"PAPOLG","gene","PAPOLG","Up-regulated","CMV_T"
"PAQR8","gene","PAQR8","Up-regulated","CMV_T"
"PARP10","gene","PARP10","Up-regulated","CMV_T"
"PARP11","gene","PARP11","Up-regulated","CMV_T"
"PARP14","gene","PARP14","Up-regulated","CMV_T"
"PARP15","gene","PARP15","Up-regulated","CMV_T"
"PARP9","gene","PARP9","Up-regulated","CMV_T"
"PAX5","gene","PAX5","Up-regulated","CMV_T"
"PCGF5","gene","PCGF5","Up-regulated","CMV_T"
"PFKP","gene","PFKP","Up-regulated","CMV_T"
"PHACTR4","gene","PHACTR4","Up-regulated","CMV_T"
"PHF11","gene","PHF11","Up-regulated","CMV_T"
"PI4K2B","gene","PI4K2B","Up-regulated","CMV_T"
"PIGB","gene","PIGB","Up-regulated","CMV_T"
"PKD2L1","gene","PKD2L1","Up-regulated","CMV_T"
"PLAA","gene","PLAA","Up-regulated","CMV_T"
"PLAAT4","gene","PLAAT4","Up-regulated","CMV_T_AND_HIV_T"
"PLEKHA3","gene","PLEKHA3","Up-regulated","CMV_T"
"PLEKHN1","gene","PLEKHN1","Up-regulated","CMV_T"
"PLSCR1","gene","PLSCR1","Up-regulated","CMV_T"
"PML","gene","PML","Up-regulated","CMV_T"
"PNPT1","gene","PNPT1","Up-regulated","CMV_T"
"PPM1K","gene","PPM1K","Up-regulated","CMV_T"
"PPP2R1B","gene","PPP2R1B","Up-regulated","CMV_T"
"PPP2R2A","gene","PPP2R2A","Up-regulated","CMV_T"
"PRKD2","gene","PRKD2","Up-regulated","CMV_T"
