"Symbol","deg_1","deg_2","ndeg","ddeg","idx","degvcount","virus","gestation","deg_3","deg_4","deg_5","deg_6"
"ATP6V1B1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ATP6V1C2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"BARX2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"BCAM",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"BMP5",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"C11orf86",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"C1QTNF3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"C4B_2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"C7",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CADM3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CCN5",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CCN6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CDON",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CHAT",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CHRNA3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CKMT1A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CLCNKA",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CNTFR",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CNTN6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CNTNAP2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL11A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL14A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL15A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL16A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL1A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL1A2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL21A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL3A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL5A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL5A2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL6A6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COL9A3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"COX4I2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CPA1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CPN2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CRABP1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CRB2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CST2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CYP2W1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"CYTL1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"DLK1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"DRD1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"DRD2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"DUSP9",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ECRG4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"EDN3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"EGFL6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ELOVL2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"EMID1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"EPHA3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"EPN3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FBN2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FGA",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FGB",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FGFR2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FGFR3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FIBIN",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FILIP1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FOXF1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FOXI3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FREM2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FRZB",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"FSIP2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GALNT18",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GATA4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GDF6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GJA4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GLP2R",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GPBAR1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GPC3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GPLD1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GUCY1A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"GYG2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"H4C11",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"HGF",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"HIF3A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"HMCN1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"HOXA13",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"HSD17B2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"HSD17B6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"HSF2BP",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"IGDCC4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"INMT",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"INSYN1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"IP6K3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"IQCN",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ITGA11",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"KCNA4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"KCNB1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"KCNH2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LAMA2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LAMC3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LARGE2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LDB3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LEFTY2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LGR4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LGR5",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LINGO1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LOC105373989",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LOC112267876",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LOC401040",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LOC728392",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LOXL1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LRP2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LRP5",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LRRN3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"LTBP2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MAGED4B",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MAP7D2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MAPK4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MATN2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MBNL3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MEOX2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"METTL27",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MMP23B",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MPDZ",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MPP2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MXRA5",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"MYL3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"NDUFA4L2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"NEURL1B",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"NKAIN4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"NOTCH3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"NPNT",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"NR2F1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"NT5C1A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ODAD3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"OGN",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"OLFML1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"OLFML2A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"OSR1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PABPC4L",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PCDHA12",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PCDHB13",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PCDHB7",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PCDHGA5",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PCDHGA6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PCDHGA7",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PCDHGA8",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PCDHGB1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PDE3A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PDLIM3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PDZRN4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PEAR1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PEG10",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PEG3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PHEX",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PHOSPHO2-KLHL23",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PI16",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PITX1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PITX2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PKNOX2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PKP1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PLA2G2A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PLA2G5",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PLCE1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PLEKHG1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PLIN1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PODNL1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PPFIA4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PRCD",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PRDM6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PRELP",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PRL",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PRRT2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PRSS12",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PRSS35",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PTCH1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PTPRD",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"PTPRT",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"RANBP3L",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"RNF39",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ROBO2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"RSPO2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"RTL1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"RYR2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SAXO2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SBSPON",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SCGN",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SCN7A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SCRG1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SCUBE3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SEMA3F",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SEMA3G",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SEMA4G",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SEMA6D",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SEZ6L2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SFTPD",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SGCA",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SGCD",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SH3GL3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLC12A3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLC16A12",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLC18A3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLC22A11",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLC38A4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLC52A1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLC5A12",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLC6A4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SLIT3",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SORBS2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SOX6",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SPEG",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SPON1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"STAC2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SUSD2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SVEP1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"SYCE1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TAFA4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TBC1D3I",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TBX20",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TBX4",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TBX5",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TCF21",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TCN1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TET1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TFAP2A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TKTL1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TMEM100",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TMEM130",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TMEM151A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TMEM179",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TMEM59L",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TMEM88B",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TNNC1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TNNT2",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"TPH1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"VAT1L",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"VTN",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"WFDC1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"WNT1",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"WNT3A",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"ZNF423",-1,-1,2,-2,-4,"0.Down-regulated","CMV","Early/mid",NA,NA,NA,NA
"A1BG",0,-1,1,-1,-1,"1.Unperturbed","CMV","Early/mid",NA,NA,NA,NA
"AADAC",0,-1,1,-1,-1,"1.Unperturbed","CMV","Early/mid",NA,NA,NA,NA
"AADACL2",0,-1,1,-1,-1,"1.Unperturbed","CMV","Early/mid",NA,NA,NA,NA
"AADACL3",0,-1,1,-1,-1,"1.Unperturbed","CMV","Early/mid",NA,NA,NA,NA
"AADAT",0,-1,1,-1,-1,"1.Unperturbed","CMV","Early/mid",NA,NA,NA,NA
